iter	Passed	Remaining
774	1029	298
775	1031	297
776	1032	296
777	1033	294
778	1034	293
779	1035	292
780	1037	290
781	1038	289
782	1039	288
783	1040	286
784	1041	285
785	1043	284
786	1044	282
787	1045	281
788	1046	279
789	1047	278
790	1048	277
791	1050	275
792	1051	274
793	1052	272
794	1053	271
795	1054	270
796	1055	268
797	1056	267
798	1057	266
799	1058	264
800	1059	263
801	1060	261
802	1061	260
803	1062	258
804	1062	257
805	1063	256
806	1064	254
807	1065	253
808	1066	251
809	1067	250
810	1068	248
811	1069	247
812	1070	246
813	1071	244
814	1071	243
815	1072	241
816	1073	240
817	1074	239
818	1075	237
819	1076	236
820	1077	234
821	1078	233
822	1079	232
823	1080	230
824	1081	229
825	1082	227
826	1083	226
827	1084	225
828	1085	223
829	1085	222
830	1086	221
831	1087	219
832	1088	218
833	1089	216
834	1090	215
835	1091	214
836	1092	212
837	1093	211
838	1093	209
839	1094	208
840	1095	207
841	1096	205
842	1097	204
843	1097	202
844	1098	201
845	1099	200
846	1100	198
847	1100	197
848	1101	195
849	1102	194
850	1103	193
851	1104	191
852	1104	190
853	1105	189
854	1106	187
855	1107	186
856	1107	184
857	1108	183
858	1109	182
859	1109	180
860	1110	179
861	1111	177
862	1112	176
863	1113	175
864	1115	174
865	1116	172
866	1117	171
867	1118	170
868	1119	168
869	1120	167
870	1121	166
871	1122	164
872	1123	163
873	1124	162
874	1125	160
875	1126	159
876	1127	158
877	1128	156
878	1130	155
879	1131	154
880	1132	152
881	1133	151
882	1134	150
883	1135	148
884	1136	147
885	1137	146
886	1138	145
887	1140	143
888	1141	142
889	1142	141
890	1143	139
891	1144	138
892	1145	137
893	1146	135
894	1147	134
895	1148	133
896	1149	132
897	1150	130
898	1151	129
899	1152	128
900	1153	126
901	1154	125
902	1155	124
903	1155	122
904	1156	121
905	1157	120
906	1159	118
907	1159	117
908	1160	116
909	1161	114
910	1162	113
911	1163	112
912	1164	110
913	1165	109
914	1166	108
915	1167	107
916	1168	105
917	1169	104
918	1170	103
919	1171	101
920	1172	100
921	1173	99
922	1174	97
